metadata,content
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""161"", ""tahun_peraturan"": ""2024"", ""tipe_bagian"": ""Pasal 1"", ""bagian_dari"": ""Bab I - Ketentuan Umum"", ""judul_peraturan"": ""Tentang Kementerian Kesehatan"", ""status"": ""berlaku"", ""nomor_halaman"": ""2""}","Dalam Peraturan Presiden ini yang dimaksud dengan:
1. Kementerian Kesehatan yang selanjutnya disebut
Kementerian adalah kementerian yang
menyelenggarakan urusan pemerintahan di bidang
kesehatan.
2. Menteri adalah menteri yang menyelenggarakan urusan
pemerintahan di bidang kesehatan."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""161"", ""tahun_peraturan"": ""2024"", ""tipe_bagian"": ""Pasal 2"", ""bagian_dari"": ""Bab II - Kedudukan, Tugas, Dan Fungsi"", ""judul_peraturan"": ""Tentang Kementerian Kesehatan"", ""status"": ""berlaku"", ""nomor_halaman"": ""2""}","(l) Kementerian berada di bawah dan bertanggung jawab
kepada Presiden.
(2) Kementerian dipimpin oleh Menteri."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""161"", ""tahun_peraturan"": ""2024"", ""tipe_bagian"": ""Pasal 3"", ""bagian_dari"": ""Bab II - Kedudukan, Tugas, Dan Fungsi"", ""judul_peraturan"": ""Tentang Kementerian Kesehatan"", ""status"": ""berlaku"", ""nomor_halaman"": ""2""}","(1) Dalam memimpin Kementerian, Menteri dapat dibantu
oleh wakil menteri sesuai dengan penunjukan Presiden.
(2) Wakil menteri diangkat dan diberhentikan oleh
Presiden.
(3) Wakil menteri berada di bawah dan bertanggung jawab
kepada Menteri.
(4) Wakil menteri mempunyai tugas membantu Menteri
dalam memimpin pelaksanaan tugas Kementerian.
(5) Ruang lingkup bidang tugas wakil menteri sebagaimana
dimaksud pada ayat (4) , meliputi:
a. membantu Menteri dalam perumusan dan/ atau
pelaksanaan kebijakan Kementerian; dan
b. membantu Menteri dalam mengoordinasikan
pencapaian kebijakan strategis lintas unit organisasi
dalam jabatan pimpinan tinggi madya atau jabatan
struktural eselon I di lingkungan Kementerian.
SK No 247043 A
Pasal 4...
FRESIDEI{
REFUEUK INDONESIA
3-"
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""161"", ""tahun_peraturan"": ""2024"", ""tipe_bagian"": ""Pasal 4"", ""bagian_dari"": ""Bab II - Kedudukan, Tugas, Dan Fungsi"", ""judul_peraturan"": ""Tentang Kementerian Kesehatan"", ""status"": ""berlaku"", ""nomor_halaman"": ""3""}","Menteri dan walil menteri merupakan satu kesatuan unsur
pemimpin Kementerian."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""161"", ""tahun_peraturan"": ""2024"", ""tipe_bagian"": ""Pasal 5"", ""bagian_dari"": ""Bab II - Kedudukan, Tugas, Dan Fungsi"", ""judul_peraturan"": ""Tentang Kementerian Kesehatan"", ""status"": ""berlaku"", ""nomor_halaman"": ""3""}","Kementerian mempunyai tugas menyelenggarakan urusan
pemerintahan di bidang kesehatan untuk membantu
Presiden dalam menyelenggarakan pemerintahan negara."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""161"", ""tahun_peraturan"": ""2024"", ""tipe_bagian"": ""Pasal 6"", ""bagian_dari"": ""Bab III - Organisasi"", ""judul_peraturan"": ""Tentang Kementerian Kesehatan"", ""status"": ""berlaku"", ""nomor_halaman"": ""3""}","Dalam melaksanakan tugas sebagaimana dimaksud dalam
Pasal 5, Kementerian menyelenggarakan fungsi:
a. perumusan, penetapan, dan pelaksanaan kebijakan
di bidang kesehatan primer dan komunitas,
penanggulangan penyakit, kesehatan lanjutan, farmasi,
alat kesehatan, dan sumber daya manusia kesehatan;
b. pelaksanaan bimbingan teknis dan supervisi atas
pelaksanaan urusan Kementerian di daerah;
c. koordinasi pelaksanaan tugas, pembinaan, dan
pemberian dukungan administrasi kepada seluruh
unsur organisasi di lingkungan Kementerian;
d. pengelolaan barang milik/ kekayaan negara yang
menjadi tanggung jawab Kementerian;
e. pengawasan atas pelaksanaan tugas di lingkungan
Kementerian;
f. perumusan dan pemberian rekomendasi kebijakan
pembangunan kesehatan;
g. pelaksanaan dukungan yang bersifat substantif kepada
seluruh unsur di lingkungan Kementerian; dan
h. pelaksanaan fungsi lain yang diberikan oleh Presiden.
Bagian Kesatu
Susunan Organisasi"
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""161"", ""tahun_peraturan"": ""2024"", ""tipe_bagian"": ""Pasal 7"", ""bagian_dari"": ""Bab III - Organisasi"", ""judul_peraturan"": ""Tentang Kementerian Kesehatan"", ""status"": ""berlaku"", ""nomor_halaman"": ""3""}","Susunan organisasi Kementerian terdiri atas:
a. SekretariatJenderal;
SK No 247281A
b.Direktorat...
b. Direktorat Jenderal Kesehatan Primer dan Komunitas;
c. Direktorat Jenderal Penanggulangan Penyakit;
d. Direktorat Jenderal Kesehatan Lanjutan;
e. Direktorat Jenderal Farmasi dan Alat Kesehatan;
f. Direktorat Jenderal Sumber Daya Manusia Kesehatan;
g. InspektoratJenderal;
h. Badan Kebijakan Pembangunan Kesehatan;
i. Staf Ahli Bidang Ekonomi Kesehatan;
j. StafAhli Bidang Teknologi Kesehatan;
k. Staf Ahli Bidang Hukum Kesehatan; dan
l. Staf Ahli Bidang Politik dan Globalisasi Kesehatan.
Bagian Kedua
Sekretariat Jenderal"
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""161"", ""tahun_peraturan"": ""2024"", ""tipe_bagian"": ""Pasal 8"", ""bagian_dari"": ""Bab III - Organisasi"", ""judul_peraturan"": ""Tentang Kementerian Kesehatan"", ""status"": ""berlaku"", ""nomor_halaman"": ""4""}","(1) Sekretariat Jenderal berada di bawah dan bertanggung
jawab kepada Menteri.
(2) Sekretariat Jenderal dipimpin oleh Sekretaris Jenderal."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""161"", ""tahun_peraturan"": ""2024"", ""tipe_bagian"": ""Pasal 9"", ""bagian_dari"": ""Bab III - Organisasi"", ""judul_peraturan"": ""Tentang Kementerian Kesehatan"", ""status"": ""berlaku"", ""nomor_halaman"": ""4""}","Sekretariat Jenderal mempunyai tugas menyelenggarakan
koordinasi pelaksanaan tugas, pembinaan, dan pemberian
dukungan administrasi kepada seluruh unsur organisasi di
lingkungan Kementerian."
"{""jenis_peraturan"": ""Perpres"", ""nomor_peraturan"": ""161"", ""tahun_peraturan"": ""2024"", ""tipe_bagian"": ""Pasal 10"", ""bagian_dari"": ""Bab III - Organisasi"", ""judul_peraturan"": ""Tentang Kementerian Kesehatan"", ""status"": ""berlaku"", ""nomor_halaman"": ""4""}","Dalam melaksanakan tugas sebagaimana dimaksud dalam
Pasal 9, Sekretariat Jenderal menyelenggarakan fungsi:
a. koordinasi kegiatan Kementerian;
b. koordinasi dan penyusunan rencana, program, dan
€rnggaran Kementerian;
c. pembinaan dan pemberian dukungan administrasi yang
meliputi ketatausahaan, sumber daya manusia,
keuangan, kerumahtanggaan, kerja sama, hubungan
masyarakat, arsip, dan dokumentasi Kementerian;
d. pembinaan . . .
SK No 27282 A
I
FRESIDEN
REFUEUK INDONESIA
d. pembinaan dan penataan organisasi dan tata laksana;
e. koordinasi dan penyusunan peraturan
perundang-undangan serta pelaksanaan advokasi
hukum;
f. koordinasi dan penyelenggaraan pengelolaan barang
milik/ kekayaan negara dan pengelolaan pengadaan
barang/jasa; dan
g. pelaksanaan fungsi lain yang diberikan oleh Menteri.
Bagian Ketiga
Direktorat Jenderal Kesehatan Primer dan Komunitas"
