metadata,content
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""24"", ""tahun_peraturan"": ""2011"", ""tipe_bagian"": ""Pasal 1"", ""bagian_dari"": ""Bab I - Ketentuan Umum"", ""judul_peraturan"": ""Tentang Badan Penyelenggara Jaminan Sosial"", ""status"": ""berlaku"", ""nomor_halaman"": ""2""}","Dalam Undang-Undang ini yang dimaksud dengan:
1. Badan Penyelenggara Jaminan Sosial yang
selanjutnya disingkat BPJS adalah badan hukum
yang dibentuk untuk menyelenggarakan program
jaminan sosial.
2. Jaminan . . .
2. Jaminan Sosial adalah salah satu bentuk
perlindungan sosial untuk menjamin seluruh rakyat
agar dapat memenuhi kebutuhan dasar hidupnya
yang layak.
3. Dana Jaminan Sosial adalah dana amanat milik
seluruh peserta yang merupakan himpunan iur an
beserta hasil pengembangannya yang dikelola oleh
BPJS untuk pembayaran manfaat kepada peserta
dan pembiayaan operasional penyelenggaraan
program Jaminan Sosial.
4. Peserta adalah setiap orang, termasuk orang asing
yang bekerja paling singkat 6 (enam) bulan di
Indonesia, yang telah membayar iuran.
5. Manfaat adalah faedah jaminan sosial yang menjadi
hak peserta dan/atau anggota keluarganya.
6. Iuran adalah sejumlah uang yang dibayar secara
teratur oleh Peserta, pemberi kerja, dan/atau
Pemerintah.
7. Bantuan Iuran ada lah Iuran yang dibayar oleh
Pemerintah bagi fakir miskin dan orang tidak
mampu sebagai Peserta program Jaminan Sosial.
8. Pekerja adalah setiap orang yang bekerja dengan
menerima gaji, upah, atau imbalan dalam bentuk
lain.
9. Pemberi Kerja adalah orang perseor angan,
pengusaha, badan hukum, atau badan lainnya yang
mempekerjakan tenaga kerja atau penyelenggara
negara yang mempekerjakan pegawai negeri dengan
membayar gaji, upah, atau imbalan dalam bentuk
lainnya.
10. Gaji . . .
10. Gaji atau Upah adalah hak Pekerja yang diterima
dan dinyatakan dalam bentuk uang sebagai
imbalan dari Pemberi Kerja kepada Pekerja yang
ditetapkan dan dibayar menurut suatu perjanjian
kerja, kesepakatan, atau peraturan perundang -
undangan, termasuk tunjangan bagi Pekerja dan
keluarganya atas suatu pekerj aan dan/atau jasa
yang telah atau akan dilakukan.
11. Dewan Jaminan Sosial Nasional yang selanjutnya
disingkat DJSN adalah dewan yang berfungsi untuk
membantu Presiden dalam perumusan kebijakan
umum dan sinkronisasi penyelenggaraan sistem
jaminan sosial nasional.
12. Dewan Pengawas adalah organ BPJS yang bertugas
melakukan pengawasan atas pelaksanaan
pengurusan BPJS oleh direksi dan memberikan
nasihat kepada direksi dalam penyelenggaraan
program Jaminan Sosial.
13. Direksi adalah organ BPJS yang berwenang dan
bertanggung jawab penuh atas pengurusan BPJS
untuk kepentingan BPJS, sesuai dengan asas,
tujuan, dan prinsip BPJS, serta mewakili BPJS,
baik di dalam maupun di luar pengadilan, sesuai
dengan ketentuan Undang-Undang ini.
14. Pemerintah Pusat yang selanjutnya disebut
Pemerintah adalah Presiden Republik Indonesia
sebagaimana dimaksud dalam Undang -Undang
Dasar Negara Republik Indonesia Tahun 1945."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""24"", ""tahun_peraturan"": ""2011"", ""tipe_bagian"": ""Pasal 2"", ""bagian_dari"": ""Bab I - Ketentuan Umum"", ""judul_peraturan"": ""Tentang Badan Penyelenggara Jaminan Sosial"", ""status"": ""berlaku"", ""nomor_halaman"": ""4""}","BPJS menyelenggarakan sistem jaminan sosial nasional
berdasarkan asas:
a. kemanusiaan;
b. manfaat; dan
c. keadilan sosial bagi seluruh rakyat Indonesia.
Pasal 3 . . ."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""24"", ""tahun_peraturan"": ""2011"", ""tipe_bagian"": ""Pasal 3"", ""bagian_dari"": ""Bab I - Ketentuan Umum"", ""judul_peraturan"": ""Tentang Badan Penyelenggara Jaminan Sosial"", ""status"": ""berlaku"", ""nomor_halaman"": ""5""}","BPJS bertujuan untuk mewujudkan terselenggaranya
pemberian jaminan terpenuhinya kebutuhan dasar
hidup yang layak bagi setiap Peserta dan/atau anggota
keluarganya."
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""24"", ""tahun_peraturan"": ""2011"", ""tipe_bagian"": ""Pasal 4"", ""bagian_dari"": ""Bab II - Pembentukan Dan Ruang Lingkup"", ""judul_peraturan"": ""Tentang Badan Penyelenggara Jaminan Sosial"", ""status"": ""berlaku"", ""nomor_halaman"": ""5""}","BPJS menyelenggarakan sistem jaminan sosial nasional
berdasarkan prinsip:
a. kegotongroyongan;
b. nirlaba;
c. keterbukaan;
d. kehati-hatian;
e. akuntabilitas;
f. portabilitas;
g. kepesertaan bersifat wajib;
h. dana amanat; dan
i. hasil pengelolaan Dana Jaminan Sosial
dipergunakan seluruhnya untuk pengembangan
program dan untuk se besar-besar kepentingan
Peserta.
Bagian Kesatu
Pembentukan"
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""24"", ""tahun_peraturan"": ""2011"", ""tipe_bagian"": ""Pasal 5"", ""bagian_dari"": ""Bab II - Pembentukan Dan Ruang Lingkup"", ""judul_peraturan"": ""Tentang Badan Penyelenggara Jaminan Sosial"", ""status"": ""berlaku"", ""nomor_halaman"": ""5""}","(1) Berdasarkan Undang-Undang ini dibentuk BPJS.
(2) BPJS sebagaimana dimaksud pada ayat (1) adalah:
a. BPJS Kesehatan; dan
b. BPJS Ketenagakerjaan.
Bagian Kedua . . .
Bagian Kedua
Ruang Lingkup"
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""24"", ""tahun_peraturan"": ""2011"", ""tipe_bagian"": ""Pasal 6"", ""bagian_dari"": ""Bab III - Status Dan Tempat Kedudukan"", ""judul_peraturan"": ""Tentang Badan Penyelenggara Jaminan Sosial"", ""status"": ""berlaku"", ""nomor_halaman"": ""6""}","(1) BPJS Kesehatan sebagaimana dimaksud dalam
Pasal 5 ayat (2) huruf a menyelenggarakan
program jaminan kesehatan.
(2) BPJS Ketenagakerjaan sebagaimana dimaksud
dalam Pasal 5 ayat (2) huruf b menyelenggarakan
program:
a. jaminan kecelakaan kerja;
b. jaminan hari tua;
c. jaminan pensiun; dan
d. jaminan kematian.
Bagian Kesatu
Status"
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""24"", ""tahun_peraturan"": ""2011"", ""tipe_bagian"": ""Pasal 7"", ""bagian_dari"": ""Bab III - Status Dan Tempat Kedudukan"", ""judul_peraturan"": ""Tentang Badan Penyelenggara Jaminan Sosial"", ""status"": ""berlaku"", ""nomor_halaman"": ""6""}","(1) BPJS sebagaimana dimaksud dalam Pasal 5
adalah badan hukum publik berdasarkan
Undang-Undang ini.
(2) BPJS sebagaimana dimaksud pada ayat (1)
bertanggung jawab kepada Presiden.
Bagian Kedua
Tempat Kedudukan"
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""24"", ""tahun_peraturan"": ""2011"", ""tipe_bagian"": ""Pasal 8"", ""bagian_dari"": ""Bab IV - Fungsi, Tugas, Wewenang, Hak, Dan Kewajiban"", ""judul_peraturan"": ""Tentang Badan Penyelenggara Jaminan Sosial"", ""status"": ""berlaku"", ""nomor_halaman"": ""6""}","(1) BPJS sebagaimana dimaksud dalam Pasal 5
berkedudukan dan berkantor pusat di ibu kota
Negara Republik Indonesia.
(2) BPJS . . .
(2) BPJS sebagaimana dimaksud pada ayat (1) dapat
mempunyai kan tor perwakilan di provinsi dan
kantor cabang di kabupaten/kota.
Bagian Kesatu
Fungsi"
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""24"", ""tahun_peraturan"": ""2011"", ""tipe_bagian"": ""Pasal 9"", ""bagian_dari"": ""Bab IV - Fungsi, Tugas, Wewenang, Hak, Dan Kewajiban"", ""judul_peraturan"": ""Tentang Badan Penyelenggara Jaminan Sosial"", ""status"": ""berlaku"", ""nomor_halaman"": ""7""}","(1) BPJS Kesehatan sebagaimana dimaksud dalam
Pasal 5 ayat (2) huruf a berfungsi
menyelenggarakan program jaminan kesehatan.
(2) BPJS Ketenagakerjaan sebagaimana dimaksud
dalam Pasal 5 ayat (2) huruf b berfungsi
menyelenggarakan program jaminan kecelakaan
kerja, program jaminan kematian, program
jaminan pensiun, dan jaminan hari tua.
Bagian Kedua
Tugas"
"{""jenis_peraturan"": ""UU"", ""nomor_peraturan"": ""24"", ""tahun_peraturan"": ""2011"", ""tipe_bagian"": ""Pasal 10"", ""bagian_dari"": ""Bab IV - Fungsi, Tugas, Wewenang, Hak, Dan Kewajiban"", ""judul_peraturan"": ""Tentang Badan Penyelenggara Jaminan Sosial"", ""status"": ""berlaku"", ""nomor_halaman"": ""7""}","Dalam melaksanakan fungsi sebagaimana dimaksud
dalam Pasal 9, BPJS bertugas untuk:
a. melakukan dan/atau menerima pendaftaran
Peserta;
b. memungut dan mengumpulkan Iuran dari Peserta
dan Pemberi Kerja;
c. menerima Bantuan Iuran dari Pemerintah;
d. mengelola Dana Jaminan So sial untuk kepentingan
Peserta;
e. mengumpulkan . . .
e. mengumpulkan dan mengelola data Peserta program
Jaminan Sosial;
f. membayarkan Manfaat dan/atau membiayai
pelayanan kesehatan sesuai dengan ketentuan
program Jaminan Sosial; dan
g. memberikan informasi mengenai penyelenggaraan
program Jaminan Sosial kepada Peserta dan
masyarakat.
Bagian Ketiga
Wewenang"
